"id","year","type","value","scenario"
"p14",2018,"price",164.235543446484,"BAU"
"p14",2020,"price",141.616024035917,"BAU"
"p14",2022,"price",113.987194595975,"BAU"
"p14",2024,"price",104.157887910097,"BAU"
"p14",2026,"price",108.357029816326,"BAU"
"p14",2028,"price",106.498177722364,"BAU"
"p14",2030,"price",141.942257345957,"BAU"
"p14",2032,"price",168.449531342469,"BAU"
"p14",2034,"price",162.745780429128,"BAU"
"p14",2036,"price",163.765856111695,"BAU"
"p14",2038,"price",166.906039110662,"BAU"
"p14",2040,"price",160.078173564175,"BAU"
"p14",2042,"price",159.365079889818,"BAU"
"p14",2044,"price",155.460655244384,"BAU"
"p14",2046,"price",140.934611176953,"BAU"
"p14",2048,"price",125.509687367109,"BAU"
"p14",2050,"price",169.035165502975,"BAU"
"p15",2010,"price",65.9989675720241,"BAU"
"p15",2012,"price",168.671209908899,"BAU"
"p15",2014,"price",757.655315158692,"BAU"
"p15",2016,"price",181.397872318216,"BAU"
"p15",2018,"price",174.307142564079,"BAU"
"p15",2020,"price",169.236222249722,"BAU"
"p15",2022,"price",157.707251912439,"BAU"
"p15",2024,"price",142.345426660858,"BAU"
"p15",2026,"price",131.159451047138,"BAU"
"p15",2028,"price",180.596637692823,"BAU"
"p15",2030,"price",176.654291165781,"BAU"
"p15",2032,"price",171.17891201588,"BAU"
"p15",2034,"price",159.88568473725,"BAU"
"p15",2036,"price",147.205735698712,"BAU"
"p15",2038,"price",150.474881429757,"BAU"
"p15",2040,"price",138.407495774341,"BAU"
"p15",2042,"price",170.448092191732,"BAU"
"p15",2044,"price",163.575225009583,"BAU"
"p15",2046,"price",151.177146804371,"BAU"
"p15",2048,"price",137.083740946773,"BAU"
"p15",2050,"price",131.13233578858,"BAU"
"p16",2010,"price",58.4326423966697,"BAU"
"p16",2012,"price",1377.43201800953,"BAU"
"p16",2014,"price",3040.8800935193,"BAU"
"p16",2016,"price",378.415713194517,"BAU"
"p16",2018,"price",891.388394724073,"BAU"
"p16",2020,"price",855.142007088769,"BAU"
"p16",2022,"price",313.738343803785,"BAU"
"p16",2024,"price",278.006247641812,"BAU"
"p16",2026,"price",1497.65312187884,"BAU"
"p16",2028,"price",999.879912973708,"BAU"
"p16",2030,"price",343.742609188093,"BAU"
"p16",2032,"price",315.840977898164,"BAU"
"p16",2034,"price",306.185182153023,"BAU"
"p16",2036,"price",314.912789827543,"BAU"
"p16",2038,"price",347.399083448808,"BAU"
"p16",2040,"price",335.435093207595,"BAU"
"p16",2042,"price",341.07175977385,"BAU"
"p16",2044,"price",310.829487525065,"BAU"
"p16",2046,"price",281.627895224776,"BAU"
"p16",2048,"price",255.456059859359,"BAU"
"p16",2050,"price",226.21010290624,"BAU"
"p17",2010,"price",80.7546436816812,"BAU"
"p17",2012,"price",95.2960600744821,"BAU"
"p17",2014,"price",97.9571578069863,"BAU"
"p17",2016,"price",101.907336368592,"BAU"
"p17",2018,"price",102.35776015929,"BAU"
"p17",2020,"price",118.795381167681,"BAU"
"p17",2022,"price",147.254950210501,"BAU"
"p17",2024,"price",139.792236626571,"BAU"
"p17",2026,"price",173.719197987361,"BAU"
"p17",2028,"price",163.097069857644,"BAU"
"p17",2030,"price",153.972783551824,"BAU"
"p17",2032,"price",153.505483279807,"BAU"
"p17",2034,"price",146.342217464433,"BAU"
"p17",2036,"price",138.570459294129,"BAU"
"p17",2038,"price",134.892672880649,"BAU"
"p17",2040,"price",128.042703778014,"BAU"
"p17",2042,"price",140.058544191282,"BAU"
"p17",2044,"price",134.461600132933,"BAU"
"p17",2046,"price",124.023269768271,"BAU"
"p17",2048,"price",113.893612920633,"BAU"
"p17",2050,"price",112.691841223319,"BAU"
"p18",2010,"price",88.3400605321556,"BAU"
"p18",2012,"price",332.705854691644,"BAU"
"p18",2014,"price",326.249993383132,"BAU"
"p18",2016,"price",308.401660971386,"BAU"
"p18",2018,"price",306.215375505087,"BAU"
"p18",2020,"price",315.022730759787,"BAU"
"p18",2022,"price",296.419085631172,"BAU"
"p18",2024,"price",269.679969912788,"BAU"
"p18",2026,"price",303.180384423258,"BAU"
"p18",2028,"price",281.019563449255,"BAU"
"p18",2030,"price",290.113818570052,"BAU"
"p18",2032,"price",323.566540639793,"BAU"
"p18",2034,"price",327.190078335739,"BAU"
"p18",2036,"price",318.826466456188,"BAU"
"p18",2038,"price",315.870153716486,"BAU"
"p18",2040,"price",309.573130931914,"BAU"
"p18",2042,"price",305.664641921339,"BAU"
"p18",2044,"price",302.574384676504,"BAU"
"p18",2046,"price",272.332043410959,"BAU"
"p18",2048,"price",247.511144990408,"BAU"
"p18",2050,"price",228.596525196901,"BAU"
"p19",2010,"price",103.025161800243,"BAU"
"p19",2012,"price",339.547165876984,"BAU"
"p19",2014,"price",314.1696327752,"BAU"
"p19",2016,"price",316.020919160071,"BAU"
"p19",2018,"price",296.219552267423,"BAU"
"p19",2020,"price",285.466125879437,"BAU"
"p19",2022,"price",265.031568158862,"BAU"
"p19",2024,"price",238.501424373011,"BAU"
"p19",2026,"price",404.146552772026,"BAU"
"p19",2028,"price",376.291965649114,"BAU"
"p19",2030,"price",359.565696129343,"BAU"
"p19",2032,"price",333.807128080111,"BAU"
"p19",2034,"price",310.608211236298,"BAU"
"p19",2036,"price",290.133288304876,"BAU"
"p19",2038,"price",332.815438649447,"BAU"
"p19",2040,"price",307.982842202191,"BAU"
"p19",2042,"price",277.437081625432,"BAU"
"p19",2044,"price",252.473324937234,"BAU"
"p19",2046,"price",225.488393951645,"BAU"
"p19",2048,"price",197.985591039678,"BAU"
"p19",2050,"price",170.079609293218,"BAU"
"p20",2010,"price",93.1264941813781,"BAU"
"p20",2012,"price",128.096917182486,"BAU"
"p20",2014,"price",110.40282973178,"BAU"
"p20",2016,"price",159.087804820657,"BAU"
"p20",2018,"price",124.256081519378,"BAU"
"p20",2020,"price",128.847040526644,"BAU"
"p20",2022,"price",132.660193761318,"BAU"
"p20",2024,"price",123.579567101075,"BAU"
"p20",2026,"price",115.259974511744,"BAU"
"p20",2028,"price",107.225298836646,"BAU"
"p20",2030,"price",147.606379554321,"BAU"
"p20",2032,"price",210.646628217692,"BAU"
"p20",2034,"price",192.217983909052,"BAU"
"p20",2036,"price",176.801806885304,"BAU"
"p20",2038,"price",246.192006988669,"BAU"
"p20",2040,"price",227.014817801114,"BAU"
"p20",2042,"price",224.660343440632,"BAU"
"p20",2044,"price",198.244183607285,"BAU"
"p20",2046,"price",176.443782047869,"BAU"
"p20",2048,"price",159.051509111734,"BAU"
"p20",2050,"price",165.728555416528,"BAU"
"p21",2010,"price",65.8920610804208,"BAU"
"p21",2012,"price",66.1021205496125,"BAU"
"p21",2014,"price",62.8376030818682,"BAU"
"p21",2016,"price",67.0416119259231,"BAU"
"p21",2018,"price",60.4862758425853,"BAU"
"p21",2020,"price",69.4015698280027,"BAU"
"p21",2022,"price",92.4365852086142,"BAU"
"p21",2024,"price",87.5887579739186,"BAU"
"p21",2026,"price",82.6063691359206,"BAU"
"p21",2028,"price",78.8325587350096,"BAU"
"p21",2030,"price",88.6430098701967,"BAU"
"p21",2032,"price",82.968399232515,"BAU"
"p21",2034,"price",76.550330942969,"BAU"
"p21",2036,"price",94.051279541614,"BAU"
"p21",2038,"price",189.858672341407,"BAU"
"p21",2040,"price",187.130181896435,"BAU"
"p21",2042,"price",182.224633250526,"BAU"
"p21",2044,"price",162.844590507714,"BAU"
"p21",2046,"price",178.236328591128,"BAU"
"p21",2048,"price",157.10834388861,"BAU"
"p21",2050,"price",188.280207833113,"BAU"
"p22",2010,"price",56.1722130048492,"BAU"
"p22",2012,"price",772.786707567842,"BAU"
"p22",2014,"price",546.782791707593,"BAU"
"p22",2016,"price",2170.25292775085,"BAU"
"p22",2018,"price",511.171249792123,"BAU"
"p22",2020,"price",499.555972008091,"BAU"
"p22",2022,"price",415.800373818745,"BAU"
"p22",2024,"price",371.774363480866,"BAU"
"p22",2026,"price",18774.1974722588,"BAU"
"p22",2028,"price",135244.48423699,"BAU"
"p22",2030,"price",297.240986364219,"BAU"
"p22",2032,"price",273.177545980963,"BAU"
"p22",2034,"price",245.74269476765,"BAU"
"p22",2036,"price",222.287254049675,"BAU"
"p22",2038,"price",211.80250520968,"BAU"
"p22",2040,"price",208.06172612893,"BAU"
"p22",2042,"price",220.221577919683,"BAU"
"p22",2044,"price",207.098615098028,"BAU"
"p22",2046,"price",182.29611777623,"BAU"
"p22",2048,"price",163.483914747992,"BAU"
"p22",2050,"price",228.211180998207,"BAU"
"p23",2010,"price",57.7825929715112,"BAU"
"p23",2012,"price",809.589805353384,"BAU"
"p23",2014,"price",581.860134204003,"BAU"
"p23",2016,"price",995.398205055881,"BAU"
"p23",2018,"price",557.018966759529,"BAU"
"p23",2020,"price",591.549765659514,"BAU"
"p23",2022,"price",533.667457965198,"BAU"
"p23",2024,"price",479.82128967816,"BAU"
"p23",2026,"price",425.461437188692,"BAU"
"p23",2028,"price",371.292062936687,"BAU"
"p23",2030,"price",317.541675866014,"BAU"
"p23",2032,"price",263.772129934587,"BAU"
"p23",2034,"price",210.299372834731,"BAU"
"p23",2036,"price",156.766424911665,"BAU"
"p23",2038,"price",126.412604349082,"BAU"
"p23",2040,"price",102.805935009747,"BAU"
"p23",2042,"price",84.9998584442072,"BAU"
"p23",2044,"price",106.268132330723,"BAU"
"p23",2046,"price",104.100556836826,"BAU"
"p23",2048,"price",99.2691199406066,"BAU"
"p23",2050,"price",201.718056351565,"BAU"
"p24",2010,"price",84.4592978884968,"BAU"
"p24",2012,"price",174.324543906439,"BAU"
"p24",2014,"price",156.564542767498,"BAU"
"p24",2016,"price",290.975049866131,"BAU"
"p24",2018,"price",163.673359183473,"BAU"
"p24",2020,"price",256.270960245481,"BAU"
"p24",2022,"price",223.171747564233,"BAU"
"p24",2024,"price",197.222267797369,"BAU"
"p24",2026,"price",169.303625685287,"BAU"
"p24",2028,"price",169.761277022768,"BAU"
"p24",2030,"price",174.876193805218,"BAU"
"p24",2032,"price",158.463712009708,"BAU"
"p24",2034,"price",148.699773674709,"BAU"
"p24",2036,"price",131.020862420625,"BAU"
"p24",2038,"price",109.262076349913,"BAU"
"p24",2040,"price",86.2611089834468,"BAU"
"p24",2042,"price",115.685063162845,"BAU"
"p24",2044,"price",97.782481841284,"BAU"
"p24",2046,"price",87.2911314272109,"BAU"
"p24",2048,"price",113.443082681728,"BAU"
"p24",2050,"price",209.557074066059,"BAU"
"p25",2010,"price",70.6408063429613,"BAU"
"p25",2012,"price",119.844083799259,"BAU"
"p25",2014,"price",129.447560767116,"BAU"
"p25",2016,"price",143.9036344335,"BAU"
"p25",2018,"price",157.928284314831,"BAU"
"p25",2020,"price",155.967678524348,"BAU"
"p25",2022,"price",141.841294816694,"BAU"
"p25",2024,"price",130.128652724071,"BAU"
"p25",2026,"price",116.781864869181,"BAU"
"p25",2028,"price",106.619354548411,"BAU"
"p25",2030,"price",100.8241019667,"BAU"
"p25",2032,"price",90.4495400918511,"BAU"
"p25",2034,"price",80.6262633027124,"BAU"
"p25",2036,"price",71.8730410640382,"BAU"
"p25",2038,"price",74.5289286200006,"BAU"
"p25",2040,"price",63.9226673922445,"BAU"
"p25",2042,"price",63.8410617023359,"BAU"
"p25",2044,"price",77.7130735936169,"BAU"
"p25",2046,"price",98.6702015489745,"BAU"
"p25",2048,"price",112.704753999521,"BAU"
"p25",2050,"price",132.227057527738,"BAU"
"p26",2010,"price",77.53538309346,"BAU"
"p26",2012,"price",72.6565464571954,"BAU"
"p26",2014,"price",73.3391811020726,"BAU"
"p26",2016,"price",68.7429192387188,"BAU"
"p26",2018,"price",66.5595394102695,"BAU"
"p26",2020,"price",81.8489292215569,"BAU"
"p26",2022,"price",76.8901293108909,"BAU"
"p26",2024,"price",71.8570960090522,"BAU"
"p26",2026,"price",66.7184460866697,"BAU"
"p26",2028,"price",61.8138893414698,"BAU"
"p26",2030,"price",58.6380039828035,"BAU"
"p26",2032,"price",53.8285726163214,"BAU"
"p26",2034,"price",49.1850798072694,"BAU"
"p26",2036,"price",44.668127788847,"BAU"
"p26",2038,"price",75.4350922930982,"BAU"
"p26",2040,"price",68.4108732131293,"BAU"
"p26",2042,"price",64.7959462375317,"BAU"
"p26",2044,"price",60.823072422337,"BAU"
"p26",2046,"price",56.6260483384222,"BAU"
"p26",2048,"price",293.589731427672,"BAU"
"p26",2050,"price",329.082251166352,"BAU"
"p27",2010,"price",89.1162940554568,"BAU"
"p27",2012,"price",130.960050780542,"BAU"
"p27",2014,"price",134.601324979981,"BAU"
"p27",2016,"price",114.529617050197,"BAU"
"p27",2018,"price",154.592471648714,"BAU"
"p27",2020,"price",186.578265704075,"BAU"
"p27",2022,"price",174.810700534196,"BAU"
"p27",2024,"price",164.802622545476,"BAU"
"p27",2026,"price",151.449351165816,"BAU"
"p27",2028,"price",139.790648180954,"BAU"
"p27",2030,"price",131.238780151853,"BAU"
"p27",2032,"price",116.880443094668,"BAU"
"p27",2034,"price",100.190015649428,"BAU"
"p27",2036,"price",131.481040621544,"BAU"
"p27",2038,"price",133.439151967189,"BAU"
"p27",2040,"price",144.684301137686,"BAU"
"p27",2042,"price",166.394323671572,"BAU"
"p27",2044,"price",165.355798504983,"BAU"
"p27",2046,"price",154.104345984028,"BAU"
"p27",2048,"price",164.854356932103,"BAU"
"p27",2050,"price",220.021344051246,"BAU"
"p28",2010,"price",101.70450061078,"BAU"
"p28",2012,"price",278.451250643097,"BAU"
"p28",2014,"price",292.65530008703,"BAU"
"p28",2016,"price",257.913875344045,"BAU"
"p28",2018,"price",272.215972881416,"BAU"
"p28",2020,"price",311.442429700854,"BAU"
"p28",2022,"price",276.280058333767,"BAU"
"p28",2024,"price",250.024172566797,"BAU"
