country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,2,12,res,1A,0,0
MEX,2,12,res,1B,0.029,14
MEX,2,12,res,1C,0.009,1
MEX,2,12,res,1D,0,0
MEX,2,12,res,1E,0,0
MEX,2,12,res,1F,0,0
MEX,2,12,com,5A,0,0
MEX,2,12,com,9CU,0,0
MEX,2,12,com,9M,0,0
MEX,2,12,com,9N,0,0
MEX,2,12,res,DAC,0,0
MEX,2,12,ind,HM,0.035,2
MEX,2,12,ind,HMC,0,0
MEX,2,12,ind,HMCF,0,0
MEX,2,12,ind,HMF,0,0
MEX,2,12,ind,HS,0,0
MEX,2,12,ind,HSF,0,0
MEX,2,12,ind,HSL,0,0
MEX,2,12,ind,HSLF,0,0
MEX,2,12,ind,HT,0,0
MEX,2,12,ind,HTF,0,0
MEX,2,12,ind,HTL,0,0
MEX,2,12,ind,HTLF,0,0
MEX,2,12,ind,OM,0.105,4
MEX,2,12,ind,OMF,0,0
MEX,1,13,res,1,0.10986,31
MEX,1,13,com,2,0.07171,13
MEX,1,13,com,3,0,0
MEX,1,13,com,5,0,0
MEX,1,13,com,6,0,0
MEX,1,13,com,7,0,0
MEX,1,13,com,9,0,0
MEX,1,13,res,1A,0,0
MEX,1,13,res,1B,0,0
MEX,1,13,res,1C,0,0
MEX,1,13,res,1D,0,0
MEX,1,13,res,1E,0,0
MEX,1,13,res,1F,0,0
MEX,1,13,com,5A,0,0
MEX,1,13,com,9CU,0,0
MEX,1,13,com,9M,0,0
MEX,1,13,com,9N,0,0
MEX,1,13,res,DAC,0,0
MEX,1,13,ind,HM,0,0
MEX,1,13,ind,HMC,0,0
MEX,1,13,ind,HMCF,0,0
MEX,1,13,ind,HMF,0,0
MEX,1,13,ind,HS,0,0
MEX,1,13,ind,HSF,0,0
MEX,1,13,ind,HSL,0,0
MEX,1,13,ind,HSLF,0,0
MEX,1,13,ind,HT,0,0
MEX,1,13,ind,HTF,0,0
MEX,1,13,ind,HTL,0,0
MEX,1,13,ind,HTLF,0,0
MEX,1,13,ind,OM,0.073785,5
MEX,1,13,ind,OMF,0,0
MEX,3,14,res,1,9.548197,3367
MEX,3,14,com,2,3.594718,570
MEX,3,14,com,3,0.00988,2
MEX,3,14,com,5,0.0005,1
MEX,3,14,com,6,0,0
MEX,3,14,com,7,0,0
MEX,3,14,com,9,0,0
MEX,3,14,res,1A,0.01825,4
MEX,3,14,res,1B,0.57885,130
MEX,3,14,res,1C,0,0
MEX,3,14,res,1D,0,0
MEX,3,14,res,1E,0,0
MEX,3,14,res,1F,0,0
MEX,3,14,com,5A,0,0
MEX,3,14,com,9CU,0.002,1
MEX,3,14,com,9M,0.042,2
MEX,3,14,com,9N,0,0
MEX,3,14,res,DAC,0.15415,46
MEX,3,14,ind,HM,2.46412,29
MEX,3,14,ind,HMC,0,0
MEX,3,14,ind,HMCF,0,0
MEX,3,14,ind,HMF,0,0
MEX,3,14,ind,HS,0.102,1
MEX,3,14,ind,HSF,0,0
MEX,3,14,ind,HSL,0,0
MEX,3,14,ind,HSLF,0,0
MEX,3,14,ind,HT,0,0
MEX,3,14,ind,HTF,0,0
MEX,3,14,ind,HTL,0,0
MEX,3,14,ind,HTLF,0,0
MEX,3,14,ind,OM,2.0857,62
MEX,3,14,ind,OMF,0,0
MEX,1,15,res,1,3.960162,634
MEX,1,15,com,2,0.48155,41
MEX,1,15,com,3,0.03,1
MEX,1,15,com,5,0,0
MEX,1,15,com,6,0.018,1
MEX,1,15,com,7,0,0
MEX,1,15,com,9,0.004,1
MEX,1,15,res,1A,0,0
MEX,1,15,res,1B,0,0
MEX,1,15,res,1C,0,0
MEX,1,15,res,1D,0,0
MEX,1,15,res,1E,0,0
MEX,1,15,res,1F,0,0
MEX,1,15,com,5A,0,0
MEX,1,15,com,9CU,0,0
MEX,1,15,com,9M,0,0
MEX,1,15,com,9N,0,0
MEX,1,15,res,DAC,0.017016,6
MEX,1,15,ind,HM,0.878984,4
MEX,1,15,ind,HMC,0,0
MEX,1,15,ind,HMCF,0,0
MEX,1,15,ind,HMF,0,0
MEX,1,15,ind,HS,0,0
MEX,1,15,ind,HSF,0,0
MEX,1,15,ind,HSL,0,0
MEX,1,15,ind,HSLF,0,0
MEX,1,15,ind,HT,0,0
MEX,1,15,ind,HTF,0,0
MEX,1,15,ind,HTL,0,0
MEX,1,15,ind,HTLF,0,0
MEX,1,15,ind,OM,0.118565,5
MEX,1,15,ind,OMF,0,0
MEX,3,16,res,1,1.306554,381
MEX,3,16,com,2,1.112716,223
MEX,3,16,com,3,0,0
MEX,3,16,com,5,0,0
MEX,3,16,com,6,0,0
MEX,3,16,com,7,0,0
MEX,3,16,com,9,0.009,1
MEX,3,16,res,1A,0,0
MEX,3,16,res,1B,0.083226,30
MEX,3,16,res,1C,0.011562,4
MEX,3,16,res,1D,0.005025,3
MEX,3,16,res,1E,0,0
MEX,3,16,res,1F,0,0
MEX,3,16,com,5A,0,0
MEX,3,16,com,9CU,0,0
MEX,3,16,com,9M,0.066,1
MEX,3,16,com,9N,0,0
MEX,3,16,res,DAC,0,0
MEX,3,16,ind,HM,2.322652,9
MEX,3,16,ind,HMC,0,0
MEX,3,16,ind,HMCF,0,0
MEX,3,16,ind,HMF,0,0
MEX,3,16,ind,HS,0,0
MEX,3,16,ind,HSF,0,0
MEX,3,16,ind,HSL,0,0
MEX,3,16,ind,HSLF,0,0
MEX,3,16,ind,HT,0,0
MEX,3,16,ind,HTF,0,0
MEX,3,16,ind,HTL,0,0
MEX,3,16,ind,HTLF,0,0
MEX,3,16,ind,OM,1.456,24
MEX,3,16,ind,OMF,0,0
MEX,2,17,res,1,2.01573,263
MEX,2,17,com,2,0.354,50
MEX,2,17,com,3,0.076,3
MEX,2,17,com,5,0,0
MEX,2,17,com,6,0,0
MEX,2,17,com,7,0,0
MEX,2,17,com,9,0,0
MEX,2,17,res,1A,0.09,26
MEX,2,17,res,1B,0,0
MEX,2,17,res,1C,0,0
MEX,2,17,res,1D,0,0
MEX,2,17,res,1E,0,0
MEX,2,17,res,1F,0,0
MEX,2,17,com,5A,0,0
MEX,2,17,com,9CU,0,0
MEX,2,17,com,9M,0,0
MEX,2,17,com,9N,0,0
MEX,2,17,res,DAC,0,0
MEX,2,17,ind,HM,0.42,1
MEX,2,17,ind,HMC,0,0
MEX,2,17,ind,HMCF,0,0
MEX,2,17,ind,HMF,0,0
MEX,2,17,ind,HS,0,0
MEX,2,17,ind,HSF,0,0
MEX,2,17,ind,HSL,0,0
MEX,2,17,ind,HSLF,0,0
MEX,2,17,ind,HT,0,0
MEX,2,17,ind,HTF,0,0
MEX,2,17,ind,HTL,0,0
MEX,2,17,ind,HTLF,0,0
MEX,2,17,ind,OM,0.06,2
MEX,2,17,ind,OMF,0,0
MEX,3,18,res,1,0.681074,167
MEX,3,18,com,2,0.23929,39
MEX,3,18,com,3,0,0
MEX,3,18,com,5,0,0
MEX,3,18,com,6,0,0
MEX,3,18,com,7,0,0
