control_reg_id,state_id,tariff_class,sector_abbr,pv_capacity_mw,pv_systems_count
8,816,estrato_6,res,0.0,0.0
8,816,industrial,ind,0.0,0.0
8,826,comercial,com,0.0,0.0
8,826,estrato_1,res,0.0,0.0
8,826,estrato_2,res,0.0,0.0
8,826,estrato_3,res,0.0,0.0
8,826,estrato_4,res,0.0,0.0
8,826,estrato_5,res,0.0,0.0
8,826,industrial,ind,0.0,0.0
8,870,comercial,com,0.0,0.0
8,870,estrato_1,res,0.0,0.0
8,870,estrato_2,res,0.0,0.0
8,870,estrato_3,res,0.0,0.0
8,870,estrato_4,res,0.0,0.0
8,870,estrato_5,res,0.0,0.0
8,870,estrato_6,res,0.0,0.0
8,870,industrial,ind,0.0,0.0
8,925,comercial,com,0.0,0.0
8,925,estrato_1,res,0.0,0.0
8,925,estrato_2,res,0.0,0.0
8,925,estrato_3,res,0.0,0.0
8,925,estrato_4,res,0.0,0.0
8,925,estrato_5,res,0.0,0.0
8,925,industrial,ind,0.0,0.0
8,972,comercial,com,0.0,0.0
8,972,estrato_1,res,0.0,0.0
8,972,estrato_2,res,0.0,0.0
8,972,estrato_3,res,0.0,0.0
8,972,estrato_4,res,0.0,0.0
8,975,comercial,com,0.0,0.0
8,975,estrato_1,res,0.0,0.0
8,975,estrato_2,res,0.0,0.0
8,975,estrato_3,res,0.0,0.0
8,975,estrato_4,res,0.0,0.0
8,975,estrato_5,res,0.0,0.0
8,975,estrato_6,res,0.0,0.0
8,975,industrial,ind,0.0,0.0
8,986,comercial,com,0.0,0.0
8,986,estrato_1,res,0.0,0.0
8,986,estrato_2,res,0.0,0.0
8,986,estrato_3,res,0.0,0.0
8,986,estrato_4,res,0.0,0.0
8,986,estrato_5,res,0.0,0.0
8,986,estrato_6,res,0.0,0.0
8,986,industrial,ind,0.0,0.0
8,990,comercial,com,0.0,0.0
8,990,estrato_1,res,0.0,0.0
8,990,estrato_2,res,0.0,0.0
8,990,estrato_3,res,0.0,0.0
8,990,estrato_4,res,0.0,0.0
8,990,estrato_5,res,0.0,0.0
8,990,industrial,ind,0.0,0.0
8,1015,comercial,com,0.0,0.0
8,1015,estrato_1,res,0.001141637544973807,3.0
8,1015,estrato_2,res,0.0037691936119986715,3.0
8,1015,estrato_3,res,0.004559825845946956,2.0
8,1015,estrato_4,res,0.001160284621140263,3.0
8,1015,estrato_5,res,8.499977972489803e-06,1.0
8,1015,estrato_6,res,3.886078157813029e-06,2.0
8,1015,industrial,ind,0.0,0.0
8,1025,comercial,com,0.0,0.0
8,1025,estrato_1,res,0.0,0.0
8,1025,estrato_2,res,0.0,0.0
8,1025,estrato_3,res,0.0,0.0
8,1025,estrato_4,res,0.0,0.0
8,1025,estrato_5,res,0.0,0.0
8,1025,estrato_6,res,0.0,0.0
8,1025,industrial,ind,0.0,0.0
8,1046,comercial,com,0.0,0.0
8,1046,estrato_1,res,0.0,0.0
8,1046,estrato_2,res,0.0,0.0
8,1046,estrato_3,res,0.0,0.0
8,1046,estrato_6,res,0.0,0.0
8,1046,industrial,ind,0.0,0.0
8,1055,comercial,com,0.0,0.0
8,1055,estrato_1,res,0.0,0.0
8,1055,estrato_2,res,0.0,0.0
8,1055,estrato_3,res,0.0,0.0
8,1055,estrato_4,res,0.0,0.0
8,1055,estrato_6,res,0.0,0.0
8,1055,industrial,ind,0.0,0.0
9,227,comercial,com,0.0,0.0
9,227,estrato_1,res,0.0,0.0
9,227,estrato_2,res,0.0,0.0
9,227,industrial,ind,0.0,0.0
9,320,comercial,com,0.0,0.0
9,320,estrato_1,res,0.0,0.0
9,320,estrato_2,res,0.0,0.0
9,320,estrato_3,res,0.0,0.0
9,320,industrial,ind,0.0,0.0
9,492,comercial,com,0.0,0.0
9,492,estrato_1,res,0.0,0.0
9,492,estrato_2,res,0.0,0.0
9,492,estrato_3,res,0.0,0.0
9,492,industrial,ind,0.0,0.0
9,551,comercial,com,0.0,0.0
9,551,estrato_1,res,0.0,0.0
9,551,estrato_2,res,0.0,0.0
9,551,estrato_3,res,0.0,0.0
9,551,industrial,ind,0.0,0.0
9,652,comercial,com,0.0,0.0
9,652,estrato_1,res,0.0,0.0
9,652,estrato_2,res,0.0,0.0
9,652,estrato_3,res,0.0,0.0
9,652,industrial,ind,0.0,0.0
10,12,comercial,com,0.0,0.0
10,12,estrato_1,res,0.0,0.0
10,12,estrato_2,res,0.0,0.0
10,12,estrato_3,res,0.0,0.0
10,12,estrato_4,res,0.0,0.0
10,12,industrial,ind,0.0,0.0
10,20,comercial,com,0.0,0.0
10,20,estrato_1,res,0.0,0.0
10,20,estrato_2,res,0.0,0.0
10,20,estrato_3,res,0.0,0.0
10,20,industrial,ind,0.0,0.0
10,26,comercial,com,0.0,0.0
10,26,estrato_1,res,0.0,0.0
10,26,estrato_2,res,0.0,0.0
10,26,estrato_3,res,0.0,0.0
10,26,industrial,ind,0.0,0.0
10,35,comercial,com,0.0,0.0
10,35,estrato_1,res,0.0,0.0
10,35,estrato_2,res,0.0,0.0
10,35,estrato_3,res,0.0,0.0
10,35,estrato_4,res,0.0,0.0
10,35,estrato_5,res,0.0,0.0
10,35,estrato_6,res,0.0,0.0
10,35,industrial,ind,0.0,0.0
10,45,comercial,com,0.0,0.0
10,45,estrato_1,res,0.0,0.0
10,45,estrato_2,res,0.0,0.0
10,52,comercial,com,0.0,0.0
10,52,estrato_1,res,0.0,0.0
10,52,estrato_2,res,0.0,0.0
10,52,estrato_3,res,0.0,0.0
10,52,estrato_4,res,0.0,0.0
10,52,industrial,ind,0.0,0.0
10,57,comercial,com,0.0,0.0
10,57,estrato_1,res,0.0,0.0
10,57,estrato_2,res,0.0,0.0
10,57,estrato_3,res,0.0,0.0
10,57,estrato_4,res,0.0,0.0
10,57,industrial,ind,0.0,0.0
10,74,comercial,com,0.0,0.0
10,74,estrato_1,res,0.0,0.0
10,74,estrato_2,res,0.0,0.0
10,74,estrato_3,res,0.0,0.0
10,74,industrial,ind,0.0,0.0
10,90,comercial,com,0.0,0.0
10,90,estrato_1,res,0.0,0.0
10,90,estrato_2,res,0.0,0.0
10,90,estrato_3,res,0.0,0.0
10,90,estrato_4,res,0.0,0.0
10,90,industrial,ind,0.0,0.0
10,92,comercial,com,0.0,0.0
10,92,estrato_1,res,0.0,0.0
10,92,estrato_2,res,0.0,0.0
10,92,estrato_3,res,0.0,0.0
10,92,estrato_4,res,0.0,0.0
10,92,estrato_5,res,0.0,0.0
10,92,industrial,ind,0.0,0.0
10,96,comercial,com,0.0,0.0
10,96,estrato_1,res,0.0,0.0
10,96,estrato_2,res,0.0,0.0
10,96,estrato_3,res,0.0,0.0
10,96,estrato_4,res,0.0,0.0
10,96,estrato_5,res,0.0,0.0
10,96,industrial,ind,0.0,0.0
10,104,comercial,com,0.0,0.0
10,104,estrato_1,res,0.0,0.0
10,104,estrato_2,res,0.0,0.0
10,104,estrato_3,res,0.0,0.0
10,104,estrato_4,res,0.0,0.0
10,104,industrial,ind,0.0,0.0
10,106,comercial,com,0.0,0.0
10,106,estrato_1,res,0.0,0.0
10,106,estrato_2,res,0.0,0.0
10,106,estrato_3,res,0.0,0.0
10,106,estrato_4,res,0.0,0.0
10,106,industrial,ind,0.0,0.0
10,112,comercial,com,0.0,0.0
10,112,estrato_1,res,0.0,0.0
10,112,estrato_2,res,0.0,0.0
10,112,estrato_3,res,0.0,0.0
10,112,estrato_4,res,0.0,0.0
10,112,industrial,ind,0.0,0.0
10,133,comercial,com,0.0,0.0
10,133,estrato_1,res,0.0027021307199878225,2.0
10,133,estrato_2,res,0.007907901786402494,2.0
10,133,estrato_3,res,0.0058076752304032945,2.0
10,133,estrato_4,res,0.00410406943738065,2.0
10,133,estrato_5,res,0.002479038595779173,2.0
10,133,estrato_6,res,0.0006686553547510098,2.0
10,133,industrial,ind,0.0,0.0
10,193,comercial,com,0.0,0.0
10,193,estrato_1,res,0.0,0.0
10,193,estrato_2,res,0.0,0.0
10,193,estrato_3,res,0.0,0.0
10,193,estrato_4,res,0.0,0.0
10,193,industrial,ind,0.0,0.0
10,214,comercial,com,0.0,0.0
10,214,estrato_1,res,0.0,0.0
10,214,estrato_2,res,0.0,0.0
10,214,estrato_3,res,0.0,0.0
10,214,estrato_4,res,0.0,0.0
10,214,industrial,ind,0.0,0.0
10,217,comercial,com,0.0,0.0
10,217,estrato_1,res,0.0,0.0
10,217,estrato_2,res,0.0,0.0
10,217,estrato_3,res,0.0,0.0
10,217,industrial,ind,0.0,0.0
10,221,comercial,com,0.0,0.0
10,221,estrato_1,res,0.0,0.0
10,221,estrato_2,res,0.0,0.0
10,221,estrato_3,res,0.0,0.0
10,221,estrato_4,res,0.0,0.0
10,221,estrato_5,res,0.0,0.0
10,221,estrato_6,res,0.0,0.0
10,221,industrial,ind,0.0,0.0
10,232,comercial,com,0.0,0.0
10,232,estrato_1,res,0.0,0.0
10,232,estrato_2,res,0.0,0.0
10,232,estrato_3,res,0.0,0.0
10,232,industrial,ind,0.0,0.0
10,235,comercial,com,0.0,0.0
