control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,developable_roof_sqft,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,interconnection_limit,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias,elevation,unsub_cost,departamento,agent_id
EDCD,27,628,PALMAR DE VARELA,res,estrato_2,560.79919,2224,8375643,3766.03,1392.922,313.8358333,1000,1,1,0.6,small,57,9,0.126177799,ATLANTICO,277
EDCD,27,152,EL RETEN,res,estrato_2,560.79919,131,474420,3621.53,78.899,301.7941667,1000,1,1,0.6,small,57,5,0.126177799,MAGDALENA,278
EDCD,27,631,REMOLINO,res,estrato_2,560.79919,5,15449,3089.8,2.569,257.4833333,1000,1,1,0.6,small,57,3,0.126177799,MAGDALENA,279
EDCD,27,448,SABANALARGA,res,estrato_2,560.79919,5610,15840166,2823.56,2634.319,235.2966667,1000,1,1,0.6,small,57,54,0.126177799,ATLANTICO,280
EDCD,27,14,PONEDERA,res,estrato_2,560.79919,1230,4477657,3640.37,744.663,303.3641667,1000,1,1,0.6,small,57,12,0.126177799,ATLANTICO,281
EDCD,27,364,LURUACO,res,estrato_2,560.79919,1580,4824206,3053.29,802.296,254.4408333,1000,1,1,0.6,small,57,51,0.126177799,ATLANTICO,282
EDCD,27,691,PUEBLO BELLO,res,estrato_2,560.79919,797,2180352,2735.7,362.606,227.975,1000,1,1,0.6,small,57,436,0.126177799,CESAR,283
EDCD,27,322,PIVIJAY,res,estrato_2,560.79919,1557,4037556,2593.16,671.471,216.0966667,1000,1,1,0.6,small,57,32,0.126177799,MAGDALENA,284
EDCD,27,322,PIVIJAY,res,estrato_2,560.79919,90,440531,4894.79,73.263,407.8991667,1000,1,1,0.6,small,57,32,0.126177799,MAGDALENA,285
EDCD,27,528,VILLANUEVA,res,estrato_2,560.79919,2962,7945759,2682.57,1321.43,223.5475,1000,1,1,0.6,small,57,510,0.126177799,LA GUAJIRA,286
