source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2017,ind,30,1.02
Planning,2017,ind,31,1.02
Planning,2017,ind,32,1.02
Planning,2017,ind,33,1.02
Planning,2017,ind,34,1.02
Planning,2017,ind,35,1.02
Planning,2017,ind,36,1.02
Planning,2017,ind,37,1.02
Planning,2017,ind,38,1.02
Planning,2017,ind,39,1.02
Planning,2017,ind,40,1.02
Planning,2017,ind,41,1.02
Planning,2017,ind,42,1.02
Planning,2018,res,1,1.03
Planning,2018,res,2,1.03
Planning,2018,res,3,1.03
Planning,2018,res,4,1.03
Planning,2018,res,5,1.03
Planning,2018,res,6,1.03
Planning,2018,res,7,1.03
Planning,2018,res,8,1.03
Planning,2018,res,9,1.03
Planning,2018,res,10,1.03
Planning,2018,res,11,1.03
Planning,2018,res,12,1.03
Planning,2018,res,13,1.03
Planning,2018,res,14,1.03
Planning,2018,res,15,1.03
Planning,2018,res,16,1.03
Planning,2018,res,17,1.03
Planning,2018,res,18,1.03
Planning,2018,res,19,1.03
Planning,2018,res,20,1.03
Planning,2018,res,21,1.03
Planning,2018,res,22,1.03
Planning,2018,res,23,1.03
Planning,2018,res,24,1.03
Planning,2018,res,25,1.03
Planning,2018,res,26,1.03
Planning,2018,res,27,1.03
Planning,2018,res,28,1.03
Planning,2018,res,29,1.03
Planning,2018,res,30,1.03
Planning,2018,res,31,1.03
Planning,2018,res,32,1.03
Planning,2018,res,33,1.03
Planning,2018,res,34,1.03
Planning,2018,res,35,1.03
Planning,2018,res,36,1.03
Planning,2018,res,37,1.03
Planning,2018,res,38,1.03
Planning,2018,res,39,1.03
Planning,2018,res,40,1.03
Planning,2018,res,41,1.03
Planning,2018,res,42,1.03
Planning,2018,com,1,1.03
Planning,2018,com,2,1.03
Planning,2018,com,3,1.03
Planning,2018,com,4,1.03
Planning,2018,com,5,1.03
Planning,2018,com,6,1.03
Planning,2018,com,7,1.03
Planning,2018,com,8,1.03
Planning,2018,com,9,1.03
Planning,2018,com,10,1.03
Planning,2018,com,11,1.03
Planning,2018,com,12,1.03
Planning,2018,com,13,1.03
Planning,2018,com,14,1.03
Planning,2018,com,15,1.03
Planning,2018,com,16,1.03
Planning,2018,com,17,1.03
Planning,2018,com,18,1.03
Planning,2018,com,19,1.03
Planning,2018,com,20,1.03
Planning,2018,com,21,1.03
Planning,2018,com,22,1.03
Planning,2018,com,23,1.03
Planning,2018,com,24,1.03
Planning,2018,com,25,1.03
Planning,2018,com,26,1.03
Planning,2018,com,27,1.03
Planning,2018,com,28,1.03
Planning,2018,com,29,1.03
