schema,table,proposed action,actual action,remaining to do
diffusion_wind,point_microdata_com_us_joined,MOVE TO NEW diffusion_template schema,,
diffusion_wind,point_microdata_ind_us,consolidate with solar,,
diffusion_wind,point_microdata_ind_us_joined,MOVE TO NEW diffusion_template schema,,
diffusion_wind,point_microdata_res_us,consolidate with solar,,
diffusion_wind,point_microdata_res_us_joined,MOVE TO NEW diffusion_template schema,,
diffusion_wind,prior_seeds_com,delete,,
diffusion_wind,prior_seeds_ind,delete,,
diffusion_wind,prior_seeds_res,delete,,
diffusion_wind,pt_com_best_option_each_year,change code to dump this to new schema,,
diffusion_wind,pt_com_elec_costs,change code to dump this to new schema,,
diffusion_wind,pt_com_incentives,?,,
diffusion_wind,pt_com_initial_market_shares,change code to dump this to new schema,,
diffusion_wind,pt_ind_best_option_each_year,change code to dump this to new schema,,
diffusion_wind,pt_ind_elec_costs,change code to dump this to new schema,,
diffusion_wind,pt_ind_incentives,?,,
diffusion_wind,pt_ind_initial_market_shares,change code to dump this to new schema,,
diffusion_wind,pt_res_best_option_each_year,change code to dump this to new schema,,
diffusion_wind,pt_res_elec_costs,change code to dump this to new schema,,
diffusion_wind,pt_res_incentives,?,,
diffusion_wind,pt_res_initial_market_shares,change code to dump this to new schema,,
diffusion_wind,random_lookup_com_0p1,?delete,,
diffusion_wind,random_lookup_ind_0p1,?delete,,
diffusion_wind,random_lookup_res_0p1,?delete,,
diffusion_wind,random_lookup_res_0p2,?delete,,
diffusion_wind,random_lookup_res_1,?delete,,
diffusion_wind,rate_escalations_to_model,MOVE TO NEW diffusion_template schema,,
diffusion_wind,rate_type_weights,MOVE TO NEW diffusion_template schema,,
diffusion_wind,required_canopy_clearance_lkup,MOVE TO NEW diffusion_template schema,,
diffusion_wind,scenario_options,MOVE TO NEW diffusion_template schema,,
diffusion_wind,sectors_to_model,MOVE TO NEW diffusion_template schema,,
diffusion_wind,starting_capacities_mw_2012_q4_us,,,
diffusion_wind,starting_capacities_mw_2014_us,delete?,,
diffusion_wind,system_sizing_factors,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,temporal_factors,DELETE?,,
diffusion_wind,temporal_factors_market,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,temporal_factors_technology,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,turbine_costs_per_size_and_year,MOVE TO NEW diffusion_template schema,,
diffusion_wind,turbines,,,
diffusion_wind,turbines_old,DELETE,,
diffusion_wind,unique_rate_gen_load_combinations,change code to dump this to new schema,,
diffusion_wind,user_defined_electric_rates,MOVE TO NEW diffusion_template schema,,
diffusion_wind,user_defined_max_market_share,MOVE TO NEW diffusion_template schema,,
diffusion_wind,utilityrate3_results,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,wind_cost_projections,MOVE TO NEW diffusion_template schema,,
diffusion_wind,wind_generation_derate_factors,MOVE TO NEW diffusion_template schema,,
diffusion_wind,wind_performance_improvements,MOVE TO NEW diffusion_template schema,,
diffusion_wind,wind_resource_annual,,,
diffusion_wind,wind_resource_current_large_turbine,,,
diffusion_wind,wind_resource_current_mid_size_turbine,,,
diffusion_wind,wind_resource_current_residential_turbine,,,
diffusion_wind,wind_resource_current_small_commercial_turbine,,,
diffusion_wind,wind_resource_far_future_mid_size_and_large_turbine,,,
diffusion_wind,wind_resource_far_future_small_turbine,,,
diffusion_wind,wind_resource_hourly,,,
diffusion_wind,wind_resource_hourly_current_large_turbine,,,
diffusion_wind,wind_resource_hourly_current_mid_size_turbine,,,
diffusion_wind,wind_resource_hourly_current_residential_turbine,,,
diffusion_wind,wind_resource_hourly_current_small_commercial_turbine,,,
diffusion_wind,wind_resource_hourly_far_future_mid_size_and_large_turbine,,,
diffusion_wind,wind_resource_hourly_far_future_small_turbine,,,
diffusion_wind,wind_resource_hourly_near_future_mid_size_turbine,,,
diffusion_wind,wind_resource_hourly_near_future_residential_turbine,,,
diffusion_wind,wind_resource_near_future_mid_size_turbine,,,
diffusion_wind,wind_resource_near_future_residential_turbine,,,
diffusion_wind_config,sceninp_carbon_price,consolidate with solar,replaced by diffusion_config.sceninp_carbon_price,
diffusion_wind_config,sceninp_com_demand_charge_rates,delete?,,drop this table
diffusion_wind_config,sceninp_com_max_market_curve,?,replaced by diffusion_config.sceninp_max_market_curve,
diffusion_wind_config,sceninp_com_rate_escalation,consolidate with solar,replaced by diffusion_config.sceninp_rate_escalation,
diffusion_wind_config,sceninp_com_rate_structure,consolidate with solar,replaced by diffusion_config.sceninp_rate_structure,
diffusion_wind_config,sceninp_cust_exp_elec_rates,DELETE?,,drop this table
