"building_type","gtc_btu_per_hftF","baseline_electricity_consumption_kwh","baseline_natural_gas_consumption_mbtu","baseline_site_energy_mbtu","baseline_source_energy_mbtu","baseline_carbon_emissions_mt","baseline_energy_cost","baseline_peak_electricity_demand_kw","gshp_electricity_consumption_kwh","gshp_natural_gas_consumption_mbtu","gshp_site_energy_mbtu","gshp_source_energy_mbtu","gshp_carbon_emissions_mt","gshp_energy_cost","gshp_peak_electricity_demand_kw","savings_abs_electricity_consumption_kwh","savings_abs_natural_gas_consumption_mbtu","savings_abs_site_energy_mbtu","savings_abs_source_energy_mbtu","savings_abs_carbon_emissions_mt","savings_abs_energy_cost","savings_abs_peak_electricity_demand_kw","savings_pct_electricity_consumption_kwh","savings_pct_natural_gas_consumption_mbtu","savings_pct_site_energy_mbtu","savings_pct_source_energy_mbtu","savings_pct_carbon_emissions_mt","savings_pct_energy_cost","savings_pct_peak_electricity_demand_kw","total_ghx_length","cooling_capacity_ton","length_per_ton_of_capacity_ft_ton","max_lft_f","min_lft_f","city","climate_zone"
"School",0.917,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1601400,0,5465.5782,18817.9857426,1263.90610909332,160954.045,1114.092,80000,465.7,738.74,1448.62112,94.9947432837171,12761.2726666667,91.6009999999999,,,,,,,,152000,685,221.897810218978,111.5,77.4,"Phoenix","2B"
"Small Hotel",0.917,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,242520,62.18,889.90076,2917.74313668,195.662305069819,25002.4933,117.474,53350,1.23,183.31355,628.25682265,42.1906602418871,5374.50778333333,11.439,,,,,,,,76000,82,926.829268292683,85.5,77.6,"Phoenix","2B"
"Medium Office",0.576,225350,0.09,769.20955,2648.17689065,177.863806763976,22650.4114166667,215.823,240170,0,819.70021,2822.22782303,189.554346335046,24139.0864166667,186.241,-14820,0.09,-50.4906599999999,-174.05093238,-11.6905395710704,-1488.675,29.582,,,,,,,,105300,125,842.4,92.9,80,"Phoenix","2B"
"School",0.576,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1556800,0,5313.3584,18293.8929712,1228.70552681184,156471.373333333,1048.268,124600,465.7,890.9598,1972.7138914,130.195325565197,17243.9443333333,157.425,,,,,,,,160000,685,233.576642335766,119.2,80.3,"Phoenix","2B"
"Small Hotel",0.576,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,248760,62.18,911.19788,2991.06912084,200.587229586331,25629.6653,119.495,47110,1.23,162.01643,554.93083849,37.265735725375,4747.33578333334,9.41800000000001,,,,,,,,1e+05,82,1219.51219512195,89.3,80.2,"Phoenix","2B"
"Medium Office",1.46,225350,0.09,769.20955,2648.17689065,177.863806763976,22650.4114166667,215.823,222450,0,759.22185,2614.00082955,175.56882350931,22358.07875,174.824,2900,0.09,9.98770000000002,34.1760611,2.29498325466562,292.332666666662,40.999,,,,,,,,97200,125,777.6,83.3,35,"Phoenix","2B"
"School",1.46,1681400,465.7,6204.3182,20266.6068626,1358.90085237704,173715.317666667,1205.693,1577700,0,5384.6901,18539.4880143,1245.20086693926,158571.9975,1054.496,103700,465.7,819.6281,1727.1188483,113.699985437777,15143.3201666667,151.197,,,,,,,,160000,685,233.576642335766,104.3,76.1,"Phoenix","2B"
"Small Hotel",1.46,295870,63.41,1073.21431,3545.99995933,237.852965311706,30377.0010833333,128.913,236560,62.18,869.55928,2847.70742104,190.958370755971,24403.4636333333,115.331,59310,1.23,203.65503,698.29253829,46.894594555735,5973.53745,13.582,,,,,,,,1e+05,82,1219.51219512195,81.4,76,"Phoenix","2B"
"Medium Office",1.243,187640,21.89,662.30532,2228.85382676,149.59231967031,19615.5078,219.007,157640,0,538.02532,1852.42117676,124.417484099832,16311.799,167.964,30000,21.89,124.28,376.43265,25.1748355704785,3303.7088,51.043,,,,,,,,40800,136,300,80.8,60.6,"Atlanta","3A"
"School",1.243,1177600,1298.1,5317.2488,15255.4545184,1018.21393727583,134135.142,1069.992,1081300,0,3690.4769,12706.3119667,853.41680764494,111887.5175,981.75,96300.0000000002,1298.1,1626.7719,2549.1425517,164.797129630888,22247.6245,88.242,,,,,,,,160000,698,229.226361031519,91.4,58.8,"Atlanta","3A"
