sector_abbr,state_id,year,nem_system_size_limit_kw
com,13,2034,20000.0
com,13,2035,20000.0
com,13,2036,20000.0
com,13,2037,20000.0
com,13,2038,20000.0
com,13,2039,20000.0
com,13,2040,20000.0
com,13,2041,20000.0
com,13,2042,20000.0
com,13,2043,20000.0
com,13,2044,20000.0
com,13,2045,20000.0
com,13,2046,20000.0
com,13,2047,20000.0
com,13,2048,20000.0
com,13,2049,20000.0
com,13,2050,20000.0
com,14,2015,20000.0
com,14,2016,20000.0
com,14,2017,20000.0
com,14,2018,20000.0
com,14,2019,20000.0
com,14,2020,20000.0
com,14,2021,20000.0
com,14,2022,20000.0
com,14,2023,20000.0
com,14,2024,20000.0
com,14,2025,20000.0
com,14,2026,20000.0
com,14,2027,20000.0
com,14,2028,20000.0
com,14,2029,20000.0
com,14,2030,20000.0
com,14,2031,20000.0
com,14,2032,20000.0
com,14,2033,20000.0
com,14,2034,20000.0
com,14,2035,20000.0
com,14,2036,20000.0
com,14,2037,20000.0
com,14,2038,20000.0
com,14,2039,20000.0
com,14,2040,20000.0
com,14,2041,20000.0
com,14,2042,20000.0
com,14,2043,20000.0
com,14,2044,20000.0
com,14,2045,20000.0
com,14,2046,20000.0
com,14,2047,20000.0
com,14,2048,20000.0
com,14,2049,20000.0
com,14,2050,20000.0
com,15,2015,20000.0
com,15,2016,20000.0
com,15,2017,20000.0
com,15,2018,20000.0
com,15,2019,20000.0
com,15,2020,20000.0
com,15,2021,20000.0
com,15,2022,20000.0
com,15,2023,20000.0
com,15,2024,20000.0
com,15,2025,20000.0
com,15,2026,20000.0
com,15,2027,20000.0
com,15,2028,20000.0
com,15,2029,20000.0
com,15,2030,20000.0
com,15,2031,20000.0
com,15,2032,20000.0
com,15,2033,20000.0
com,15,2034,20000.0
com,15,2035,20000.0
com,15,2036,20000.0
com,15,2037,20000.0
com,15,2038,20000.0
com,15,2039,20000.0
com,15,2040,20000.0
com,15,2041,20000.0
com,15,2042,20000.0
com,15,2043,20000.0
com,15,2044,20000.0
com,15,2045,20000.0
com,15,2046,20000.0
com,15,2047,20000.0
com,15,2048,20000.0
com,15,2049,20000.0
com,15,2050,20000.0
com,16,2015,20000.0
com,16,2016,20000.0
com,16,2017,20000.0
com,16,2018,20000.0
com,16,2019,20000.0
com,16,2020,20000.0
com,16,2021,20000.0
com,16,2022,20000.0
com,16,2023,20000.0
com,16,2024,20000.0
com,16,2025,20000.0
com,16,2026,20000.0
com,16,2027,20000.0
com,16,2028,20000.0
com,16,2029,20000.0
com,16,2030,20000.0
com,16,2031,20000.0
com,16,2032,20000.0
com,16,2033,20000.0
com,16,2034,20000.0
com,16,2035,20000.0
com,16,2036,20000.0
com,16,2037,20000.0
com,16,2038,20000.0
com,16,2039,20000.0
com,16,2040,20000.0
com,16,2041,20000.0
com,16,2042,20000.0
com,16,2043,20000.0
com,16,2044,20000.0
com,16,2045,20000.0
com,16,2046,20000.0
com,16,2047,20000.0
com,16,2048,20000.0
com,16,2049,20000.0
com,16,2050,20000.0
com,17,2015,20000.0
com,17,2016,20000.0
com,17,2017,20000.0
com,17,2018,20000.0
com,17,2019,20000.0
com,17,2020,20000.0
com,17,2021,20000.0
com,17,2022,20000.0
com,17,2023,20000.0
com,17,2024,20000.0
com,17,2025,20000.0
com,17,2026,20000.0
com,17,2027,20000.0
com,17,2028,20000.0
com,17,2029,20000.0
com,17,2030,20000.0
com,17,2031,20000.0
com,17,2032,20000.0
com,17,2033,20000.0
com,17,2034,20000.0
com,17,2035,20000.0
com,17,2036,20000.0
com,17,2037,20000.0
com,17,2038,20000.0
com,17,2039,20000.0
com,17,2040,20000.0
com,17,2041,20000.0
com,17,2042,20000.0
com,17,2043,20000.0
com,17,2044,20000.0
com,17,2045,20000.0
com,17,2046,20000.0
com,17,2047,20000.0
com,17,2048,20000.0
com,17,2049,20000.0
com,17,2050,20000.0
com,18,2015,20000.0
com,18,2016,20000.0
com,18,2017,20000.0
com,18,2018,20000.0
com,18,2019,20000.0
com,18,2020,20000.0
com,18,2021,20000.0
com,18,2022,20000.0
com,18,2023,20000.0
com,18,2024,20000.0
com,18,2025,20000.0
com,18,2026,20000.0
com,18,2027,20000.0
com,18,2028,20000.0
com,18,2029,20000.0
com,18,2030,20000.0
com,18,2031,20000.0
com,18,2032,20000.0
com,18,2033,20000.0
com,18,2034,20000.0
com,18,2035,20000.0
com,18,2036,20000.0
com,18,2037,20000.0
com,18,2038,20000.0
com,18,2039,20000.0
com,18,2040,20000.0
com,18,2041,20000.0
com,18,2042,20000.0
com,18,2043,20000.0
com,18,2044,20000.0
com,18,2045,20000.0
com,18,2046,20000.0
com,18,2047,20000.0
com,18,2048,20000.0
com,18,2049,20000.0
com,18,2050,20000.0
com,19,2015,20000.0
com,19,2016,20000.0
com,19,2017,20000.0
com,19,2018,20000.0
