Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
1152.75,-105.5,2,1,0.555592
1213.49,-111.059,2,1,0.384063
1232.95,-112.839,2,1,0.186124
1282.07,-117.335,2,1,0.00237352
1163.85,-106.516,2,1,0
959.812,-87.842,2,1,0
882.577,-80.7734,2,1,0
628.616,-57.531,2,1,0
564.392,-40.9297,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.937,-31.179,1,1,0
528.363,-38.3169,1,1,0.000581282
1050.72,-76.1983,1,1,0.176844
1013.98,-73.5336,1,1,0.331486
965.463,-70.0154,1,1,0.427545
967.222,-70.143,1,1,0.438012
918.498,-66.6095,1,1,0.47046
1077.99,-78.1759,1,1,0.484435
1191.9,-86.4367,1,1,0.40464
1279.85,-92.815,1,1,0.258367
1348.08,-97.7627,1,1,0.0111452
1171.81,-84.98,1,1,0
895.5,-64.9417,1,1,0
796.057,-57.73,1,1,0
579.083,-41.9951,1,1,0
561.873,-40.747,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.141,1,1,0
274.597,-19.9138,1,1,0
429.924,-31.1781,1,1,0
428.66,-31.0864,1,1,0.000277357
652.063,-47.2876,1,1,0.14898
615.313,-44.6225,1,1,0.286866
566.434,-41.0778,1,1,0.407888
614.028,-44.5293,1,1,0.310755
748.484,-54.2801,1,1,0.437709
879.603,-63.7888,1,1,0.318371
677.631,-49.1418,1,1,0.156573
688.937,-49.9617,1,1,0.00613917
741.04,-53.7402,1,1,4.12E-05
712.933,-51.7019,1,1,0
347.93,-25.2319,1,1,0
323.485,-23.4592,1,1,0
323.485,-23.4592,1,1,0
