parameter 
	 eLoad(T) 
			 / 
		890	287.77
		891	287.77
		892	287.77
		893	299.992
		894	349.358
		895	430.001
		896	519.829
		897	1050.73
		898	1013.99
		899	965.085
		900	965.663
		901	916.935
		902	1068.73
		903	1150.36
		904	1127.11
		905	1164.95
		906	1037.3
		907	837.263
		908	806.707
		909	618.149
		910	554.658
		911	349.357
		912	299.992
		913	287.77
		914	287.77
		915	287.77
		916	287.77
		917	299.992
		918	349.358
		919	429.775
		920	519.674
		921	1050.7
		922	1013.99
		923	965.091
		924	965.098
		925	915.298
		926	965.122
		927	965.112
		928	965.107
		929	1014.02
		930	901.194
		931	753.14
		932	728.698
		933	579.221
		934	554.788
		935	349.357
		936	299.992
		937	287.77
		938	287.77
		939	287.77
		940	287.77
		941	299.992
		942	349.358
		943	429.962
		944	519.804
		945	1053.07
		946	1014.11
		947	965.172
		948	965.17
		949	915.329
		950	965.11
		951	965.072
		952	965.063
		953	1013.96
		954	901.155
		955	753.116
		956	728.695
		957	579.226
		958	561.543
		959	349.357
		960	299.992
		961	287.77
		962	287.77
		963	287.77
		964	287.77
		965	299.992
		966	350.658
		967	430.137
		968	519.909
		969	1050.79
		970	1014.02
		971	965.099
		972	965.3
		973	916.611
		974	967.781
		975	1023.22
		976	1067.94
		977	1115.44
		978	915.303
		979	753.05
		980	728.617
		981	579.132
		982	554.712
		983	349.357
		984	299.992
		985	237.929
		986	237.929
		987	237.929
		988	237.929
		989	250.151
		990	275.463
		991	430.04
		992	420.179
		993	652.077
		994	615.325
		995	566.413
		996	566.669
		997	689.773
		998	753.064
		999	570.333
		1000	612.196
		1001	655.291
		1002	549.639
		1003	347.93
		1004	323.485
		1005	323.485
		1006	299.042
		1007	274.596
		1008	250.151
		1009	237.929
		1010	237.929
		1011	237.929
		1012	237.929
		1013	250.151
		1014	274.596
		1015	323.484
		1016	305.21
		1017	296.666
		1018	260
		1019	211.111
		1020	341.275
		1021	479.897
		1022	572.621
		1023	525.202
		1024	570.494
		1025	435.704
		1026	296.666
		1027	347.928
		1028	323.484
		1029	323.484
		1030	299.041
		1031	274.595
		1032	250.151
		1033	287.77
		1034	287.77
		1035	287.77
		1036	287.77
		1037	299.992
		1038	349.358
		1039	429.776
		1040	511.129
		1041	1063.69
		1042	1073.65
		1043	1133.35
		1044	1200.27
		1045	1273.67
		1046	1376.73
		1047	1386.65
		1048	1396.66
		1049	1443.53
		1050	1319.91
		1051	1165.77
		1052	1102.67
		1053	842.762
		1054	753.159
		1055	349.357
		1056	299.992
		1057	287.77
		1058	287.77
		1059	287.77
		1060	287.77
		1061	299.992
		1062	349.358
		1063	429.719
		1064	511.074
		1065	1110.61
		1066	1200.23
		1067	1313.02
		1068	1388.32
		1069	1366.68
		1070	1439.8
		1071	1453.42
		1072	1453.61
		1073	1498.94
		1074	1373.87
		1075	1214
		1076	1183.16
		1077	1029.29
		1078	1001.3
		1079	349.357
		1080	299.992
		1081	287.77
		1082	287.77
		1083	287.77
		1084	287.77
		1085	299.992
