scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
Planning,2018,ind,MEX,2,1.080856333
Planning,2018,ind,MEX,3,1.091573354
Planning,2018,ind,MEX,4,1.141500313
Planning,2018,ind,MEX,5,1.09950528
Planning,2018,ind,MEX,6,1.107567047
Planning,2018,ind,MEX,7,1.077796625
Planning,2018,ind,MEX,8,1.082825216
Planning,2018,ind,MEX,9,1.169794526
Low,2018,ind,MEX,1,1.063798706
Low,2018,ind,MEX,2,1.062191564
Low,2018,ind,MEX,3,1.079005869
Low,2018,ind,MEX,4,1.128520502
Low,2018,ind,MEX,5,1.087230944
Low,2018,ind,MEX,6,1.089185212
Low,2018,ind,MEX,7,1.069068898
Low,2018,ind,MEX,8,1.065438223
Low,2018,ind,MEX,9,1.151049594
High,2018,ind,MEX,1,1.110540771
High,2018,ind,MEX,2,1.107318595
High,2018,ind,MEX,3,1.109213488
High,2018,ind,MEX,4,1.157065169
High,2018,ind,MEX,5,1.118835362
High,2018,ind,MEX,6,1.135583065
High,2018,ind,MEX,7,1.10668175
High,2018,ind,MEX,8,1.113741976
High,2018,ind,MEX,9,1.19271663
Planning,2019,res,MEX,1,1.122706563
Planning,2019,res,MEX,2,1.116847135
Planning,2019,res,MEX,3,1.130791803
Planning,2019,res,MEX,4,1.189570917
Planning,2019,res,MEX,5,1.136056758
Planning,2019,res,MEX,6,1.15095386
Planning,2019,res,MEX,7,1.122369225
Planning,2019,res,MEX,8,1.121359182
Planning,2019,res,MEX,9,1.226023353
Low,2019,res,MEX,1,1.086879894
Low,2019,res,MEX,2,1.091856009
Low,2019,res,MEX,3,1.111246532
Low,2019,res,MEX,4,1.166604976
Low,2019,res,MEX,5,1.117412798
Low,2019,res,MEX,6,1.122514598
Low,2019,res,MEX,7,1.10695055
Low,2019,res,MEX,8,1.097721612
Low,2019,res,MEX,9,1.206416816
High,2019,res,MEX,1,1.160622374
High,2019,res,MEX,2,1.155852195
High,2019,res,MEX,3,1.156397291
High,2019,res,MEX,4,1.211913571
High,2019,res,MEX,5,1.163127078
High,2019,res,MEX,6,1.187539998
High,2019,res,MEX,7,1.161947844
High,2019,res,MEX,8,1.162604193
High,2019,res,MEX,9,1.257339071
Planning,2019,com,MEX,1,1.122706563
Planning,2019,com,MEX,2,1.116847135
Planning,2019,com,MEX,3,1.130791803
Planning,2019,com,MEX,4,1.189570917
Planning,2019,com,MEX,5,1.136056758
Planning,2019,com,MEX,6,1.15095386
Planning,2019,com,MEX,7,1.122369225
Planning,2019,com,MEX,8,1.121359182
Planning,2019,com,MEX,9,1.226023353
Low,2019,com,MEX,1,1.086879894
Low,2019,com,MEX,2,1.091856009
Low,2019,com,MEX,3,1.111246532
Low,2019,com,MEX,4,1.166604976
Low,2019,com,MEX,5,1.117412798
Low,2019,com,MEX,6,1.122514598
Low,2019,com,MEX,7,1.10695055
Low,2019,com,MEX,8,1.097721612
Low,2019,com,MEX,9,1.206416816
High,2019,com,MEX,1,1.160622374
High,2019,com,MEX,2,1.155852195
High,2019,com,MEX,3,1.156397291
High,2019,com,MEX,4,1.211913571
High,2019,com,MEX,5,1.163127078
High,2019,com,MEX,6,1.187539998
High,2019,com,MEX,7,1.161947844
High,2019,com,MEX,8,1.162604193
High,2019,com,MEX,9,1.257339071
Planning,2019,ind,MEX,1,1.122706563
Planning,2019,ind,MEX,2,1.116847135
Planning,2019,ind,MEX,3,1.130791803
Planning,2019,ind,MEX,4,1.189570917
Planning,2019,ind,MEX,5,1.136056758
Planning,2019,ind,MEX,6,1.15095386
Planning,2019,ind,MEX,7,1.122369225
Planning,2019,ind,MEX,8,1.121359182
Planning,2019,ind,MEX,9,1.226023353
Low,2019,ind,MEX,1,1.086879894
Low,2019,ind,MEX,2,1.091856009
Low,2019,ind,MEX,3,1.111246532
Low,2019,ind,MEX,4,1.166604976
Low,2019,ind,MEX,5,1.117412798
Low,2019,ind,MEX,6,1.122514598
Low,2019,ind,MEX,7,1.10695055
Low,2019,ind,MEX,8,1.097721612
Low,2019,ind,MEX,9,1.206416816
High,2019,ind,MEX,1,1.160622374
High,2019,ind,MEX,2,1.155852195
High,2019,ind,MEX,3,1.156397291
High,2019,ind,MEX,4,1.211913571
High,2019,ind,MEX,5,1.163127078
High,2019,ind,MEX,6,1.187539998
High,2019,ind,MEX,7,1.161947844
High,2019,ind,MEX,8,1.162604193
High,2019,ind,MEX,9,1.257339071
Planning,2020,res,MEX,1,1.162589478
Planning,2020,res,MEX,2,1.157967169
Planning,2020,res,MEX,3,1.170032063
Planning,2020,res,MEX,4,1.238002255
Planning,2020,res,MEX,5,1.173737245
Planning,2020,res,MEX,6,1.196046595
Planning,2020,res,MEX,7,1.169755787
Planning,2020,res,MEX,8,1.163041454
Planning,2020,res,MEX,9,1.308344155
Low,2020,res,MEX,1,1.111397133
Low,2020,res,MEX,2,1.125780006
Low,2020,res,MEX,3,1.144131875
Low,2020,res,MEX,4,1.207855684
Low,2020,res,MEX,5,1.146012383
Low,2020,res,MEX,6,1.156623017
Low,2020,res,MEX,7,1.147525058
Low,2020,res,MEX,8,1.132144813
Low,2020,res,MEX,9,1.278205299
High,2020,res,MEX,1,1.211539048
High,2020,res,MEX,2,1.209970888
High,2020,res,MEX,3,1.203038719
High,2020,res,MEX,4,1.26721531
High,2020,res,MEX,5,1.209374314
High,2020,res,MEX,6,1.242087892
High,2020,res,MEX,7,1.221452882
High,2020,res,MEX,8,1.214848008
High,2020,res,MEX,9,1.34968759
Planning,2020,com,MEX,1,1.162589478
Planning,2020,com,MEX,2,1.157967169
Planning,2020,com,MEX,3,1.170032063
Planning,2020,com,MEX,4,1.238002255
Planning,2020,com,MEX,5,1.173737245
Planning,2020,com,MEX,6,1.196046595
Planning,2020,com,MEX,7,1.169755787
Planning,2020,com,MEX,8,1.163041454
Planning,2020,com,MEX,9,1.308344155
Low,2020,com,MEX,1,1.111397133
Low,2020,com,MEX,2,1.125780006
Low,2020,com,MEX,3,1.144131875
Low,2020,com,MEX,4,1.207855684
Low,2020,com,MEX,5,1.146012383
Low,2020,com,MEX,6,1.156623017
Low,2020,com,MEX,7,1.147525058
Low,2020,com,MEX,8,1.132144813
Low,2020,com,MEX,9,1.278205299
High,2020,com,MEX,1,1.211539048
High,2020,com,MEX,2,1.209970888
High,2020,com,MEX,3,1.203038719
High,2020,com,MEX,4,1.26721531
High,2020,com,MEX,5,1.209374314
High,2020,com,MEX,6,1.242087892
High,2020,com,MEX,7,1.221452882
High,2020,com,MEX,8,1.214848008
High,2020,com,MEX,9,1.34968759
Planning,2020,ind,MEX,1,1.162589478
Planning,2020,ind,MEX,2,1.157967169
Planning,2020,ind,MEX,3,1.170032063
Planning,2020,ind,MEX,4,1.238002255
Planning,2020,ind,MEX,5,1.173737245
Planning,2020,ind,MEX,6,1.196046595
Planning,2020,ind,MEX,7,1.169755787
Planning,2020,ind,MEX,8,1.163041454
Planning,2020,ind,MEX,9,1.308344155
Low,2020,ind,MEX,1,1.111397133
Low,2020,ind,MEX,2,1.125780006
Low,2020,ind,MEX,3,1.144131875
Low,2020,ind,MEX,4,1.207855684
Low,2020,ind,MEX,5,1.146012383
Low,2020,ind,MEX,6,1.156623017
Low,2020,ind,MEX,7,1.147525058
Low,2020,ind,MEX,8,1.132144813
Low,2020,ind,MEX,9,1.278205299
High,2020,ind,MEX,1,1.211539048
High,2020,ind,MEX,2,1.209970888
High,2020,ind,MEX,3,1.203038719
High,2020,ind,MEX,4,1.26721531
High,2020,ind,MEX,5,1.209374314
High,2020,ind,MEX,6,1.242087892
High,2020,ind,MEX,7,1.221452882
High,2020,ind,MEX,8,1.214848008
High,2020,ind,MEX,9,1.34968759
Planning,2021,res,MEX,1,1.190673033
Planning,2021,res,MEX,2,1.19568939
Planning,2021,res,MEX,3,1.20958208
Planning,2021,res,MEX,4,1.288622021
Planning,2021,res,MEX,5,1.209912877
Planning,2021,res,MEX,6,1.245543933
Planning,2021,res,MEX,7,1.219090427
Planning,2021,res,MEX,8,1.207145375
Planning,2021,res,MEX,9,1.372443531
Low,2021,res,MEX,1,1.135153724
Low,2021,res,MEX,2,1.155979295
Low,2021,res,MEX,3,1.17765398
Low,2021,res,MEX,4,1.250599062
Low,2021,res,MEX,5,1.175254917
Low,2021,res,MEX,6,1.195809752
Low,2021,res,MEX,7,1.189082924
