,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm
306,14539,324,7,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,33526.0,8.91119153132649,8.73646228561421,20510622.5503702,20108453.4807551,2301670.037981671,1000.0,0.608,1511.7260210000363,149548.7090478729,98.9258020107,380.10119584,25,SW,0.825,0.35,52323,14.872099940511603,20,1000.0
307,14539,324,8,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,9908.0,13.865508484016,13.5936357686431,9431551.10809551,9246618.73342698,680216.74927884,1000.0,0.608,1511.7260210000363,44196.40306760797,29.2357229112,112.332000489,25,SW,0.825,0.35,52323,14.872099940511603,20,1000.0
308,14546,324,9,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,369742.0,4.36933335523508,4.28366015219126,110911170.815536,108736441.976016,25384002.958402995,1000.0,0.606,1520.716001113698,243438.94950061257,160.08179655,615.08,25,SW,0.825,0.35,52325,14.872099940511603,20,1000.0
309,14554,324,10,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,26581.0,12.6751843780917,12.4266513510703,23130601.3943781,22677060.1905667,1824872.9726060606,1000.0,0.614,1461.3208909611858,116754.46035082155,79.8965244889,306.985274665,25,SW,0.825,0.35,51830,14.872099940511603,20,1000.0
310,14568,325,1,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,235343.0,1.41433928489031,1.38660714204932,22702984.7143651,22257828.1513383,16052007.433369057,1000.0,0.577,1364.011626219472,218353.43164030017,160.08179655,615.08,0,S,0.825,0.35,49374,14.872099940511603,20,1000.0
311,14569,325,2,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,235343.0,1.41433928489031,1.38660714204932,22702984.7143651,22257828.1513383,16052007.433369057,1000.0,0.601,1595.7617401627651,255452.40623100972,160.08179655,615.08,25,S,0.825,0.35,50366,14.872099940511603,20,1000.0
312,14569,325,3,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,17593.0,0.57174068678643,0.560530085084735,686067.850646136,672615.539849153,1199963.3164158773,1000.0,0.601,1595.7617401627651,79358.6739586101,49.7309040324,191.080342122,25,S,0.825,0.35,50366,14.872099940511603,20,1000.0
313,14573,325,4,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,37401.0,1.34373903805464,1.31739121377906,3427884.7780998,3360671.35107824,2551004.8313118983,1000.0,0.601,1588.5202405083473,168708.79126473735,106.204999447,408.069952162,25,S,0.825,0.35,50859,14.872099940511603,20,1000.0
314,14573,325,5,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,121477.0,1.27808319798774,1.25302274312523,10589641.321036,10382001.2951333,8285564.928565426,1000.0,0.601,1588.5202405083473,254293.1739566143,160.08179655,615.08,25,S,0.825,0.35,50859,14.872099940511603,20,1000.0
315,14578,325,6,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,17731.0,2.75428270957042,2.70027716624551,3330963.02971113,3265650.02912856,1209375.8633189292,1000.0,0.602,1573.368041762,79780.71163931098,50.7069608138,194.83063115,25,S,0.825,0.35,50367,14.872099940511603,20,1000.0
316,14579,325,7,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,456456.0,2.51783345799689,2.46846417450675,78388794.8029115,76851759.6106976,31133431.225937914,1000.0,0.619,1521.2066938552998,243517.50047624225,160.08179655,615.08,25,SE,0.825,0.35,50365,14.872099940511603,20,1000.0
317,14589,325,8,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,148375.0,2.73562630484816,2.68198657338055,27685066.4334964,27142221.9936239,10120193.092321139,1000.0,0.62,1484.0265359985174,237565.6340105159,160.08179655,615.08,25,SE,0.825,0.35,50861,14.872099940511603,20,1000.0
318,14589,325,9,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,624045.0,1.77887440474666,1.74399451445751,75716278.6978119,74231645.7821686,42564150.957354985,1000.0,0.608,1463.186822327267,234229.57520643456,160.08179655,615.08,25,SW,0.825,0.35,50861,14.872099940511603,20,1000.0
319,14596,325,10,2016,CA,PAC,IOU,p9,22,241,6.576277152769895,0.0,0.0,0.0,2435.1043512782608,187.1433197975165,82733.0,2.51783345799689,2.46846417450675,14208029.1647591,13929440.357607,5642958.282102813,1000.0,0.607,1478.3095971646294,236650.45617122066,160.08179655,615.08,25,SW,0.825,0.35,50363,14.872099940511603,20,1000.0
320,14601,326,1,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,308089.0,0.963497068149247,0.944604968773771,12227840.3275203,11988078.7524709,12691102.787690254,1000.0,0.594,1340.9318518648997,214658.7798976516,160.08179655,615.08,0,S,0.825,0.35,58571,14.872099940511603,20,1000.0
321,14607,326,2,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,462327.0,0.0587233341408359,0.0575718962165058,1118363.87877699,1096435.17527156,19044625.02239441,1000.0,0.601,1632.8086202134793,261382.9373461004,160.08179655,615.08,25,S,0.825,0.35,59044,14.872099940511603,20,1000.0
322,14607,326,3,2016,CA,PAC,IOU,p9,29,241,6.576277152769895,0.0,0.0,0.0,2461.8993101394517,189.2025734605018,176092.0,0.196772693515354,0.19291440540721,1427340.62069648,1399353.54970243,7253753.532550504,1000.0,0.619,1534.7971994660256,245693.0930304301,160.08179655,615.08,25,SE,0.825,0.35,59044,14.872099940511603,20,1000.0
